case,completeTime,event,sunUp
1,2025-06-01 07:23:00,sunUp,1
1,2025-06-01 07:35:00,presenceOn,1
1,2025-06-01 07:35:05,blindsOpen,1
1,2025-06-01 07:35:10,musicOn,1
1,2025-06-01 08:05:00,musicOff,1
1,2025-06-01 08:15:00,blindsClosed,1
1,2025-06-01 08:20:00,presenceOff,1
1,2025-06-01 09:00:00,doorClosed,1
1,2025-06-01 17:59:00,doorOpened,0
1,2025-06-01 17:59:10,presenceOn,0
1,2025-06-01 17:59:20,nicolasDetected,0
1,2025-06-01 17:59:40,musicOn,0
1,2025-06-01 21:00:00,sunDown,0
1,2025-06-01 23:49:00,musicOff,0
1,2025-06-01 23:49:05,lampOff,0
1,2025-06-01 23:49:10,blindsClosed,0
1,2025-06-01 23:49:15,presenceOff,0
1,2025-06-01 23:49:20,nicolasNotDected,0
1,2025-06-01 23:49:25,doorClosed,0
2,2025-06-02 07:18:00,sunUp,1
2,2025-06-02 07:27:00,presenceOn,1
2,2025-06-02 07:27:05,blindsOpen,1
2,2025-06-02 07:27:10,musicOn,1
2,2025-06-02 07:57:00,musicOff,1
2,2025-06-02 08:07:00,blindsClosed,1
2,2025-06-02 08:12:00,presenceOff,1
2,2025-06-02 09:00:00,doorClosed,1
2,2025-06-02 17:35:00,doorOpened,0
2,2025-06-02 17:35:10,presenceOn,0
2,2025-06-02 17:35:20,nicolasDetected,0
2,2025-06-02 17:35:40,musicOn,0
2,2025-06-02 20:00:00,sunDown,0
2,2025-06-02 23:26:00,musicOff,0
2,2025-06-02 23:26:05,lampOff,0
2,2025-06-02 23:26:10,blindsClosed,0
2,2025-06-02 23:26:15,presenceOff,0
2,2025-06-02 23:26:20,nicolasNotDected,0
2,2025-06-02 23:26:25,doorClosed,0
3,2025-06-03 07:32:00,sunUp,1
3,2025-06-03 07:53:00,presenceOn,1
3,2025-06-03 07:53:05,blindsOpen,1
3,2025-06-03 07:53:10,musicOn,1
3,2025-06-03 08:23:00,musicOff,1
3,2025-06-03 08:33:00,blindsClosed,1
3,2025-06-03 08:38:00,presenceOff,1
3,2025-06-03 09:00:00,doorClosed,1
3,2025-06-03 17:32:00,doorOpened,0
3,2025-06-03 17:32:10,presenceOn,0
3,2025-06-03 17:32:20,nicolasDetected,0
3,2025-06-03 17:32:40,musicOn,0
3,2025-06-03 20:00:00,sunDown,0
3,2025-06-03 23:52:00,musicOff,0
3,2025-06-03 23:52:05,lampOff,0
3,2025-06-03 23:52:10,blindsClosed,0
3,2025-06-03 23:52:15,presenceOff,0
3,2025-06-03 23:52:20,nicolasNotDected,0
3,2025-06-03 23:52:25,doorClosed,0
4,2025-06-04 07:02:00,sunUp,1
4,2025-06-04 07:19:00,presenceOn,1
4,2025-06-04 07:19:05,blindsOpen,1
4,2025-06-04 07:19:10,musicOn,1
4,2025-06-04 07:49:00,musicOff,1
4,2025-06-04 07:59:00,blindsClosed,1
4,2025-06-04 08:04:00,presenceOff,1
4,2025-06-04 09:00:00,doorClosed,1
4,2025-06-04 17:47:00,doorOpened,0
4,2025-06-04 17:47:10,presenceOn,0
4,2025-06-04 17:47:20,nicolasDetected,0
4,2025-06-04 17:47:40,musicOn,0
4,2025-06-04 21:00:00,sunDown,0
4,2025-06-04 23:28:00,musicOff,0
4,2025-06-04 23:28:05,lampOff,0
4,2025-06-04 23:28:10,blindsClosed,0
4,2025-06-04 23:28:15,presenceOff,0
4,2025-06-04 23:28:20,nicolasNotDected,0
4,2025-06-04 23:28:25,doorClosed,0
5,2025-06-05 06:54:00,sunUp,1
