case,completeTime,event,sunUp
1,2025-06-01 20:34:04,sunDown,0
1,2025-06-01 20:34:15,doorOpened,0
1,2025-06-01 20:34:29,presenceOn,0
1,2025-06-01 20:34:42,nicolasDetected,0
1,2025-06-01 20:34:56,lampOn,0
1,2025-06-01 20:35:06,doorClosed,0
2,2025-06-02 20:34:00,sunDown,0
2,2025-06-02 20:34:09,doorOpened,0
2,2025-06-02 20:34:21,presenceOn,0
2,2025-06-02 20:34:34,nicolasDetected,0
2,2025-06-02 20:34:42,doorClosed,0
3,2025-06-03 20:28:30,sunDown,0
3,2025-06-03 20:28:41,doorOpened,0
3,2025-06-03 20:28:53,presenceOn,0
3,2025-06-03 20:29:05,nicolasDetected,0
3,2025-06-03 20:29:16,doorClosed,0
4,2025-06-04 20:39:26,sunDown,0
4,2025-06-04 20:39:35,doorOpened,0
4,2025-06-04 20:39:44,presenceOn,0
4,2025-06-04 20:39:54,nicolasDetected,0
4,2025-06-04 20:40:06,lampOff,0
4,2025-06-04 20:40:14,doorClosed,0
4,2025-06-04 20:40:25,lampOn,0
5,2025-06-05 20:21:43,sunDown,0
5,2025-06-05 20:21:51,doorOpened,0
5,2025-06-05 20:22:03,presenceOn,0
5,2025-06-05 20:22:13,nicolasDetected,0
5,2025-06-05 20:22:23,lampOn,0
6,2025-06-06 20:27:34,sunDown,0
6,2025-06-06 20:27:47,doorOpened,0
6,2025-06-06 20:28:00,presenceOn,0
6,2025-06-06 20:28:08,nicolasDetected,0
6,2025-06-06 20:28:18,doorClosed,0
6,2025-06-06 20:28:27,lampOn,0
7,2025-06-07 20:40:06,sunDown,0
7,2025-06-07 20:40:17,doorOpened,0
7,2025-06-07 20:40:27,presenceOn,0
7,2025-06-07 20:40:35,nicolasDetected,0
7,2025-06-07 20:40:47,lampOn,0
7,2025-06-07 20:40:55,doorClosed,0
8,2025-06-08 20:34:53,sunDown,0
8,2025-06-08 20:35:03,doorOpened,0
8,2025-06-08 20:35:17,presenceOn,0
8,2025-06-08 20:35:31,nicolasDetected,0
8,2025-06-08 20:35:40,lampOn,0
8,2025-06-08 20:35:51,lampOff,0
8,2025-06-08 20:36:06,doorClosed,0
9,2025-06-09 20:34:20,sunDown,0
9,2025-06-09 20:34:31,doorOpened,0
9,2025-06-09 20:34:46,presenceOn,0
9,2025-06-09 20:34:55,nicolasDetected,0
9,2025-06-09 20:35:09,lampOn,0
9,2025-06-09 20:35:24,doorClosed,0
10,2025-06-10 20:39:25,sunDown,0
10,2025-06-10 20:39:34,doorOpened,0
10,2025-06-10 20:39:47,presenceOn,0
10,2025-06-10 20:40:00,nicolasDetected,0
10,2025-06-10 20:40:09,lampOn,0
10,2025-06-10 20:40:23,lampOff,0
10,2025-06-10 20:40:34,doorClosed,0
11,2025-06-11 20:33:09,sunDown,0
11,2025-06-11 20:33:19,doorOpened,0
11,2025-06-11 20:33:32,presenceOn,0
11,2025-06-11 20:33:47,nicolasDetected,0
11,2025-06-11 20:34:02,lampOn,0
11,2025-06-11 20:34:17,doorClosed,0
11,2025-06-11 20:34:26,lampOff,0
12,2025-06-12 20:32:24,sunDown,0
12,2025-06-12 20:32:38,doorOpened,0
12,2025-06-12 20:32:53,presenceOn,0
12,2025-06-12 20:33:06,nicolasDetected,0
12,2025-06-12 20:33:14,lampOn,0
12,2025-06-12 20:33:29,doorClosed,0
13,2025-06-13 20:26:25,sunDown,0
13,2025-06-13 20:26:37,doorOpened,0
13,2025-06-13 20:26:49,presenceOn,0
