case,completeTime,event,sunUp
1,2023-01-02 17:06:00,sunDown,0
1,2023-01-02 18:05:00,doorOpened,0
1,2023-01-02 18:05:23,nicolasDetected,0
1,2023-01-02 18:05:49,presenceOn,0
1,2023-01-02 18:06:09,lampOn,0
1,2023-01-02 18:06:20,doorClosed,0
1,2023-01-02 18:06:38,blindsClosed,0
2,2023-01-03 17:06:00,sunDown,0
2,2023-01-03 18:02:00,doorOpened,0
2,2023-01-03 18:02:15,nicolasDetected,0
2,2023-01-03 18:02:38,presenceOn,0
2,2023-01-03 18:03:01,lampOn,0
2,2023-01-03 18:03:16,doorClosed,0
2,2023-01-03 18:03:46,blindsClosed,0
3,2023-01-04 17:07:00,sunDown,0
3,2023-01-04 18:02:00,doorOpened,0
3,2023-01-04 18:02:20,nicolasDetected,0
3,2023-01-04 18:02:36,presenceOn,0
3,2023-01-04 18:02:47,lampOn,0
3,2023-01-04 18:03:06,doorClosed,0
3,2023-01-04 18:03:36,blindsClosed,0
4,2023-01-05 17:06:00,sunDown,0
4,2023-01-05 18:02:00,doorOpened,0
4,2023-01-05 18:02:17,nicolasDetected,0
4,2023-01-05 18:02:44,presenceOn,0
4,2023-01-05 18:03:10,lampOn,0
4,2023-01-05 18:03:29,doorClosed,0
4,2023-01-05 18:03:50,blindsClosed,0
5,2023-01-06 17:00:00,sunDown,0
5,2023-01-06 18:03:00,doorOpened,0
5,2023-01-06 18:03:13,nicolasDetected,0
5,2023-01-06 18:03:28,presenceOn,0
5,2023-01-06 18:03:57,lampOn,0
5,2023-01-06 18:04:22,doorClosed,0
5,2023-01-06 18:04:47,blindsClosed,0
6,2023-01-07 15:06:00,doorOpened,1
6,2023-01-07 15:06:24,nicolasDetected,1
6,2023-01-07 15:06:46,presenceOn,1
6,2023-01-07 15:07:06,doorClosed,1
6,2023-01-07 17:03:00,sunDown,0
6,2023-01-07 17:03:23,lampOn,0
6,2023-01-07 17:03:52,blindsClosed,0
7,2023-01-08 15:02:00,doorOpened,1
7,2023-01-08 15:02:20,nicolasDetected,1
7,2023-01-08 15:02:48,presenceOn,1
7,2023-01-08 15:03:17,doorClosed,1
